review_idx,asin,rating,aspect,sentence,sentence_label,sentence_score,is_negative
0,B09TZY6B27,5.0,battery,"These are the best earbuds ever, the battery life is great, the base is great and if you have small ear canals, wonderful.",POSITIVE,0.9998748302459717,0
0,B09TZY6B27,5.0,comfort_fit,"These are the best earbuds ever, the battery life is great, the base is great and if you have small ear canals, wonderful.",POSITIVE,0.9998748302459717,0
0,B09TZY6B27,5.0,comfort_fit,They do not fall out of your ear and the price is good.,POSITIVE,0.9997783303260803,0
1,B00AXE9YD2,5.0,comfort_fit,"These headphones fit a variety a sizes, from my 20 month old, 6 year old, 8 year old, and even my small sized head!",POSITIVE,0.5898832678794861,0
1,B00AXE9YD2,5.0,sound_quality,"The cord was long enough, even without the additional length from the sound limiting device, to reach from the headphones on the ears to the device in the back pack on the floor of the plane.",NEGATIVE,0.9858307242393494,1
1,B00AXE9YD2,5.0,comfort_fit,"The cord was long enough, even without the additional length from the sound limiting device, to reach from the headphones on the ears to the device in the back pack on the floor of the plane.",NEGATIVE,0.9858307242393494,1
1,B00AXE9YD2,5.0,sound_quality,"I found them much more comfortable for ear buds, and the sound quality was fine.",POSITIVE,0.9998080134391785,0
1,B00AXE9YD2,5.0,comfort_fit,"I found them much more comfortable for ear buds, and the sound quality was fine.",POSITIVE,0.9998080134391785,0
1,B00AXE9YD2,5.0,durability,"I found them much more comfortable for ear buds, and the sound quality was fine.",POSITIVE,0.9998080134391785,0
2,B085DL3KMR,5.0,sound_quality,"The quick review is, buy these with Comply Isolation foam tips for better isolation, more solid fit and more balanced sound quality.<br /><br />Out of the box I was super impressed with the presentation and quality.",POSITIVE,0.998428225517273,0
2,B085DL3KMR,5.0,comfort_fit,"The quick review is, buy these with Comply Isolation foam tips for better isolation, more solid fit and more balanced sound quality.<br /><br />Out of the box I was super impressed with the presentation and quality.",POSITIVE,0.998428225517273,0
2,B085DL3KMR,5.0,durability,"The quick review is, buy these with Comply Isolation foam tips for better isolation, more solid fit and more balanced sound quality.<br /><br />Out of the box I was super impressed with the presentation and quality.",POSITIVE,0.998428225517273,0
2,B085DL3KMR,5.0,battery,"Well built, sleek finish, wireless charging, waterproof, and solid build.<br />The initial sound and fit didn't quite work though.",NEGATIVE,0.9847322106361389,1
2,B085DL3KMR,5.0,sound_quality,"Well built, sleek finish, wireless charging, waterproof, and solid build.<br />The initial sound and fit didn't quite work though.",NEGATIVE,0.9847322106361389,1
2,B085DL3KMR,5.0,comfort_fit,"Well built, sleek finish, wireless charging, waterproof, and solid build.<br />The initial sound and fit didn't quite work though.",NEGATIVE,0.9847322106361389,1
2,B085DL3KMR,5.0,durability,"Well built, sleek finish, wireless charging, waterproof, and solid build.<br />The initial sound and fit didn't quite work though.",NEGATIVE,0.9847322106361389,1
2,B085DL3KMR,5.0,comfort_fit,This is pretty common with earbuds IMO though so I don't blame the company.,NEGATIVE,0.9726543426513672,1
2,B085DL3KMR,5.0,sound_quality,"The rubber buds create a bit of a bass boost and I couldn't quite get them to fit like I wanted in both ears.<br /><br />However, I swapped the earbuds for the COMPLY Isolation Plus Tx-500 Mediums and they are perfect.",POSITIVE,0.999272882938385,0
2,B085DL3KMR,5.0,comfort_fit,"The rubber buds create a bit of a bass boost and I couldn't quite get them to fit like I wanted in both ears.<br /><br />However, I swapped the earbuds for the COMPLY Isolation Plus Tx-500 Mediums and they are perfect.",POSITIVE,0.999272882938385,0
2,B085DL3KMR,5.0,sound_quality,The overall sound is more balanced without the huge sub (though still bass focused which is fun).,POSITIVE,0.9996592998504639,0
